,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.0008567133,0.009057988,-0.011481145,-0.0010757652,0.004824011,0.00070360303,-0.008633783,-0.0045144013,-0.0008189056,0.003029386,0.03351277,0.0050351983,0.0054041785,-0.0069449693,0.020318333,0.0075009987,0.15461193,0.15221938,0.049782317,-0.007876484,0.16533051,0.0001939889,0.022420606,-0.0010216391,0.0035512717,-0.00044269982,0.009093147,0.018517941,0.08855506,0.0031563265,-0.0033319888,-0.0055656563,0.006480291,-0.0027868692
CXCL2,-0.0014051026,0.0015578633,0.00011804125,0.00051083777,-0.0008813822,-0.0012008324,-0.0014653852,0.0049190847,-0.0026212726,-0.00096898526,-0.0044098636,0.0007743588,0.0007416898,-0.000690459,0.039303735,0.0026249716,0.017629908,0.01713353,0.008046915,0.00071080355,0.020818224,-0.0015347716,0.008545801,0.0022566775,-0.0009924017,-0.0004815909,-0.012341734,-0.0039124466,0.009595595,-0.0025207365,-0.0027998546,-0.0015873108,1.0877944e-06,-0.003905604
ATF3,-0.004309404,0.007919884,0.0005263535,-0.0008706595,0.0029180723,-0.012111679,-0.005592793,0.0026659027,0.0041579506,0.007465835,0.00086081465,0.005437439,0.0041668676,-0.0003559307,0.032563463,0.005778191,-0.032073535,-0.034220405,-0.10252752,-0.004217214,-0.02555117,0.0024038833,0.0068339114,0.0061749956,0.006115242,0.0038564145,-0.0036174501,-0.012787077,-0.04469167,-0.028000943,-0.008321907,-0.0017894277,0.003113111,-0.0014639631
NFKBIA,-0.009755399,0.023991387,-0.022312906,-0.008893312,0.005051612,-0.0054515162,-0.014309663,0.028937206,0.004938027,0.001162926,0.03686338,0.008174867,0.012151678,-0.009877302,0.052334778,0.016580682,0.3101498,0.28931716,0.01272668,-0.013259832,0.32155636,-0.0024437553,0.0146708535,-0.0025954102,0.0084117055,-0.0170966,-0.047508623,0.021780044,0.16827087,0.018880233,-0.010004837,-0.011516306,0.009780774,-0.015679426
TNFAIP3,-0.002226947,0.004147207,-0.007633875,-0.0025598765,0.003685626,0.00052747154,-0.0056899646,0.0051334454,0.003854821,0.0018168115,0.020806264,0.003278168,0.004044149,-0.0021548741,0.020330293,0.0059682545,0.022635816,0.015175193,-0.059141517,-0.0024550804,0.01597757,0.0043372475,0.016059967,-0.0017356485,0.0065798117,-0.005420483,0.007908277,0.0060450225,0.008569478,0.008467935,-0.00043076192,-0.00021089806,0.004352119,-0.0043804795
PTGS2,1.4607463e-05,-0.00029716696,0.0002136521,-0.00020687786,0.00022248838,-0.0011179694,7.714846e-05,0.0008689166,-8.521999e-05,0.00040797264,-0.00039692756,0.00016314759,0.0003634888,-0.0005929046,0.0068095895,0.0009430067,-0.004435594,-0.0036406512,-0.017833298,0.00040538068,-0.0034995177,-0.00025759125,0.0014417899,0.00075481687,0.0007285387,0.001330142,-0.0018652615,-0.00046265975,-0.00072423613,0.0031050558,-0.00023134056,0.00036249158,-0.00018657466,0.00031446296
CXCL1,-0.008491868,-0.0023978807,-0.002192434,-0.0045573357,-0.0021689693,-0.002100621,-0.0018879308,0.021713624,0.0032953555,-0.000454588,-0.036527593,0.0038580615,0.005687487,-0.00095083757,0.056298535,0.010810612,0.005877116,-0.0028191577,-0.043213055,0.005788658,0.008789492,-0.003350134,0.012547298,0.0043025813,0.0020237463,-0.00019680076,-0.043102577,-0.031406995,0.040888064,0.042450894,-0.0025293184,-0.00258008,0.0023650217,-0.0057780826
IER3,0.0012471842,0.0020300166,0.00064802513,0.0006777805,0.00066864723,0.00035171854,-0.0015075208,-0.0021827049,-0.000688055,0.0005680663,-0.0058688186,-0.0006474104,0.0005125351,-0.001625963,0.0034549031,-0.00023390885,0.036946725,0.03965159,-0.021060733,-0.0010026365,0.04098818,-0.0001612446,0.004836697,0.00020603664,0.00025688083,0.0036652575,0.0021863608,-0.003313325,0.033315454,0.0071895323,-0.000788052,0.00097167195,0.0016596756,0.0020845663
CD83,-0.007675042,0.0052740513,-0.0031389124,5.5122844e-05,0.0018135125,-0.0034445024,-0.0015716435,0.0052642142,0.0021499745,0.0041927216,-0.013295955,0.0060351864,0.0014504199,0.0007524767,0.020432727,0.002584909,0.018187344,0.021913186,0.05693151,-0.002097127,0.027404347,-0.0033838835,0.0067252303,0.009466601,0.0030804505,0.002668715,0.041093603,-0.007508448,0.0040467684,0.0062057413,-0.0059856223,-0.0030976362,-0.001494582,0.0034392648
CCL20,-0.0034415293,0.0005986074,0.0050065294,-0.0001948691,0.0024463553,-0.0005735411,0.0010554629,-0.0037090643,8.993313e-05,0.0006620001,-0.008220419,0.00045280403,-0.00057694997,0.00024641663,0.01912987,-0.0006779227,0.07997072,0.08514019,0.029922528,2.897659e-05,0.085598156,-0.0005545835,0.0035057866,-0.0027881681,0.0021723555,0.0033618803,-0.0055585764,0.0073562968,0.07568971,0.020460086,0.0017687328,-0.000186834,-0.00042479442,0.0045729442
