perturbation,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_G2M_CHECKPOINT,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_MYOGENESIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_COMPLEMENT,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_P53_PATHWAY,HALLMARK_HEME_METABOLISM,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_MITOTIC_SPINDLE,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_UV_RESPONSE_UP,HALLMARK_DNA_REPAIR,HALLMARK_UV_RESPONSE_DN,HALLMARK_COAGULATION,HALLMARK_SPERMATOGENESIS,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PEROXISOME,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_PROTEIN_SECRETION,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MYC_TARGETS_V2,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_APICAL_SURFACE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_ANGIOGENESIS,HALLMARK_NOTCH_SIGNALING
NTg1,4.465322015733886,0.7095080054517746,0.13983544807160156,0.358696136699317,0.392555101345414,0.39651989005464505,0.2129945135172576,6.072867785861631,0.1887303140972288,0.6853367894688285,0.3150643979256573,0.311943240814888,0.03090214719636495,1.6275912215857873,3.988071055485028,0.1887303140972288,0.15204427737785753,0.15204427737785753,2.6074311429336032,0.16534659293637907,0.7282487811347562,2.969407891830338,-0.0,0.03090214719636495,1.0385765252132555,1.7835067012843788,1.4656139467562197,1.3964483798998981,0.22912127249337436,0.08072783690105496,1.243537620207924,-0.0,0.7722100121893135,-0.0,0.13369499899655896,0.8633964793471515,-0.0,2.821500268899934,-0.0,1.6855120916013522,0.635243825954304,-0.0,0.7876385083873496,1.6127723305039754,-0.0,-0.0,0.6868707251475281,-0.0,2.371394453101557,-0.0
NTg10,1.8701905628548172,0.392555101345414,-0.0,0.03745924384596685,0.1693632316628214,1.1212186686698804,0.056902389884237715,10.0,-0.0,6.5693176621711435,0.03090214719636495,0.03044898460329131,0.5870323777493343,0.7282487811347562,3.988071055485028,0.1887303140972288,-0.0,-0.0,1.4877359898324765,-0.0,4.243200140881569,0.44306166026324756,0.11567298275427809,-0.0,0.6563727957933831,1.7835067012843788,0.07251631987700903,1.9583705866879677,-0.0,-0.0,1.243537620207924,-0.0,-0.0,-0.0,-0.0,-0.0,0.1550061288829249,4.528771163648638,0.14508229235007464,1.6855120916013522,-0.0,-0.0,-0.0,0.8844086778149785,0.45314059163856135,-0.0,-0.0,-0.0,1.361215505885984,-0.0
NTg2,3.0563263814231587,0.1693632316628214,0.13983544807160156,0.03745924384596685,0.0428194038316623,0.7156954083230431,0.056902389884237715,10.0,-0.0,1.0790034500152181,0.03090214719636495,0.12862182700826633,0.03090214719636495,1.1386298828951664,4.751471901569908,0.4298144974392295,-0.0,0.15204427737785753,0.3551275668933957,0.16534659293637907,1.6275912215857873,0.44306166026324756,0.37774903868508325,-0.0,1.0385765252132555,1.7835067012843788,0.2589858554087423,0.5270584946514052,0.062294695770729644,-0.0,1.8371008774191235,-0.0,0.11567298275427809,-0.0,-0.0,0.43051167313617694,-0.0,10.0,-0.0,2.4209280812022946,0.21867436511217475,-0.0,0.2835764375563126,1.6127723305039754,-0.0,-0.0,0.6868707251475281,-0.0,-0.0,-0.0
NTg3,0.03090214719636495,0.1693632316628214,4.594332185827433,0.03745924384596685,-0.0,0.39651989005464505,0.056902389884237715,1.8701905628548172,-0.0,2.092795039440452,0.13016627127880748,3.04012919248771,0.13016627127880748,0.7282487811347562,0.15204427737785753,0.4298144974392295,0.358696136699317,0.03745924384596685,0.3551275668933957,0.041563733259286965,2.188005393607646,1.2209463639798102,-0.0,0.5870323777493343,0.03745924384596685,0.8160596965743662,0.2589858554087423,0.06618692510630703,0.22912127249337436,0.08072783690105496,0.7472195225895986,0.1273556354106071,0.37774903868508325,-0.0,0.424856384862822,0.43051167313617694,-0.0,0.8732487336712079,-0.0,-0.0,-0.0,-0.0,-0.0,2.474774237361043,-0.0,-0.0,-0.0,-0.0,2.371394453101557,-0.0
NTg4,5.245495410199768,0.7095080054517746,0.03376905117920521,0.03745924384596685,-0.0,0.39651989005464505,0.2129945135172576,7.861599483728666,0.048973970550640324,0.16142815431662733,0.5870323777493343,0.03044898460329131,1.8701905628548172,1.1386298828951664,2.6226130217083385,0.4298144974392295,0.03745924384596685,0.15204427737785753,1.4877359898324765,0.041563733259286965,1.6275912215857873,0.19568830191852318,-0.0,-0.0,0.6563727957933831,2.379733518588947,0.2589858554087423,0.9160717380232557,-0.0,-0.0,0.36343202683924125,-0.0,0.37774903868508325,-0.0,0.424856384862822,0.43051167313617694,0.9464602536988356,5.482185911567175,-0.0,2.4209280812022946,0.21867436511217475,0.26272126713031335,0.7876385083873496,2.474774237361043,-0.0,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
NTg5,0.9411317651796155,0.0428194038316623,2.518619284299479,0.15204427737785753,0.0428194038316623,0.39651989005464505,0.056902389884237715,4.465322015733886,0.4298144974392295,3.3678821132403924,0.03090214719636495,2.4196984767928873,0.3150643979256573,0.7282487811347562,2.6226130217083385,0.1887303140972288,-0.0,0.15204427737785753,0.15023562724498923,-0.0,2.8138998767211483,0.7878387206622981,0.37774903868508325,0.03090214719636495,1.4979788684800328,1.7835067012843788,0.07251631987700903,-0.0,0.062294695770729644,-0.0,0.7472195225895986,0.1273556354106071,0.37774903868508325,-0.0,-0.0,0.13588770492732924,-0.0,4.528771163648638,0.14508229235007464,2.4209280812022946,1.2072555185818277,0.26272126713031335,0.2835764375563126,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,1.361215505885984,-0.0
NTg7,0.9411317651796155,0.1693632316628214,-0.0,1.0385765252132555,0.0428194038316623,0.39651989005464505,0.056902389884237715,3.734679655078286,-0.0,4.091725504893003,0.03090214719636495,-0.0,0.13016627127880748,0.40457740345517473,3.2773372311939344,0.4298144974392295,0.6563727957933831,0.03745924384596685,2.0152124052445304,-0.0,1.1386298828951664,2.3185359335618156,-0.0,-0.0,2.0278965464553247,1.7835067012843788,0.5608104147589565,0.5270584946514052,0.062294695770729644,-0.0,1.243537620207924,-0.0,0.37774903868508325,0.13588770492732924,-0.0,0.13588770492732924,0.1550061288829249,2.821500268899934,0.45406390884064557,2.4209280812022946,0.635243825954304,-0.0,0.2835764375563126,0.8844086778149785,0.45314059163856135,0.41268871847646604,0.6868707251475281,-0.0,0.5413963639219164,-0.0
NTg8,0.13016627127880748,1.5939829353342163,0.13983544807160156,0.6563727957933831,0.0428194038316623,1.1212186686698804,0.2129945135172576,2.4335337571096023,0.1887303140972288,2.092795039440452,2.4335337571096023,0.03044898460329131,1.8701905628548172,0.40457740345517473,-0.0,0.1887303140972288,1.4979788684800328,1.4979788684800328,1.4877359898324765,-0.0,0.04477672794295085,0.44306166026324756,0.37774903868508325,0.03090214719636495,0.15204427737785753,0.2053875723977307,0.5608104147589565,0.9160717380232557,0.062294695770729644,-0.0,0.36343202683924125,-0.0,0.7722100121893135,-0.0,1.3987171516278112,0.43051167313617694,-0.0,2.821500268899934,0.14508229235007464,0.18041375083699485,-0.0,-0.0,-0.0,1.6127723305039754,-0.0,-0.0,-0.0,-0.0,1.361215505885984,-0.0
NTg9,0.13016627127880748,0.392555101345414,0.6180137600837907,1.0385765252132555,-0.0,0.39651989005464505,0.2129945135172576,3.0563263814231587,-0.0,0.6853367894688285,-0.0,0.311943240814888,0.3150643979256573,2.188005393607646,1.0385765252132555,0.4298144974392295,0.6563727957933831,0.03745924384596685,2.0152124052445304,0.041563733259286965,2.188005393607646,1.2209463639798102,0.11567298275427809,-0.0,0.358696136699317,0.46141557458560667,0.5608104147589565,-0.0,-0.0,-0.0,1.8371008774191235,-0.0,0.11567298275427809,-0.0,-0.0,-0.0,0.1550061288829249,2.821500268899934,-0.0,0.5424689622677614,0.635243825954304,-0.0,0.2835764375563126,-0.0,-0.0,-0.0,0.6868707251475281,-0.0,2.371394453101557,-0.0
tar-ATF2,0.9411317651796155,0.0428194038316623,0.03376905117920521,0.03745924384596685,0.0428194038316623,0.17140924148787443,-0.0,10.0,0.1887303140972288,0.6853367894688285,0.03090214719636495,-0.0,1.8701905628548172,-0.0,3.2773372311939344,0.1887303140972288,-0.0,0.03745924384596685,0.6507401325491515,0.041563733259286965,2.188005393607646,0.44306166026324756,0.7722100121893135,-0.0,2.0278965464553247,1.2597509453999525,0.2589858554087423,0.2405953406558609,0.22912127249337436,-0.0,-0.0,-0.0,0.11567298275427809,-0.0,-0.0,0.13588770492732924,0.1550061288829249,10.0,-0.0,1.6855120916013522,0.21867436511217475,-0.0,0.2835764375563126,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
