,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.46212114298429674,1.725626930400012e-196,True,3
NTg10,0.42125220953727666,3.653019994895656e-160,True,3
NTg2,0.45639099986246356,4.3125530579143226e-191,True,1
NTg3,0.4649735127692541,3.24582630184177e-199,True,4
NTg4,0.49490064353319685,1.9878302812179543e-229,True,5
NTg5,0.3917807093231734,6.425293159311324e-137,True,1
NTg7,0.4134923126915011,8.169607010178676e-154,True,1
NTg8,0.4612434802964442,1.1760055915618464e-195,True,0
NTg9,0.4275105758783644,2.0824317995935376e-165,True,4
tar-ATF2,0.4483578378896494,1.0719229436595376e-183,False,4
tar-BRD4,0.5474682050502271,2.23608721009355e-290,False,5
tar-CAV1,0.39113106193723857,1.9688320320425705e-136,False,2
tar-CD86,0.39696002581247875,7.786480918993925e-141,False,5
tar-CMTM6,0.4194476686379911,1.132910464636573e-158,False,2
tar-CUL3,0.6455339109255198,0.0,False,12
tar-ETV7,0.4625845275687443,6.250493176692845e-197,False,6
tar-IFNGR1,0.8874499781103454,0.0,False,18
tar-IFNGR2,0.8732073093800448,0.0,False,18
tar-IRF1,0.8217731283561374,0.0,False,18
tar-IRF7,0.4671890556121127,2.378402330570388e-201,False,2
tar-JAK2,0.8778825371740027,0.0,False,19
tar-MARCH8,0.4514600090929274,1.5768060001649038e-186,False,3
tar-MYC,0.5832313193476993,0.0,False,8
tar-NFKBIA,0.5078013561117113,2.0768792685047983e-243,False,8
tar-PDCD1LG2,0.4410743494125511,3.678999619911165e-177,False,3
tar-POU2F2,0.49345367166786547,6.751441817068953e-228,False,5
tar-SMAD4,0.7788049149538979,0.0,False,14
tar-SPI1,0.5154010819886244,6.244878691092982e-252,False,3
tar-STAT1,0.8599279405757536,0.0,False,18
tar-STAT2,0.7220567242995176,0.0,False,18
tar-STAT3,0.46275069917693556,4.3410236723309733e-197,False,2
tar-STAT5A,0.42786122972161883,1.0506304733287469e-165,False,3
tar-TNFRSF14,0.45258923877655505,1.4435699130436476e-187,False,5
tar-UBE2L6,0.424838817023208,3.723191151058044e-163,False,5
