,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5068707764886414,2.2189212804466672e-242,True,4
NTg10,0.49971422597160453,1.418500300260059e-234,True,3
NTg2,0.5346478828715198,1.655797894674946e-274,True,4
NTg3,0.5156486727706687,3.267667154256003e-252,True,3
NTg4,0.5497381854769136,2.932543078744028e-293,True,5
NTg5,0.47399837969842534,5.1869980335395395e-208,True,2
NTg7,0.4848257512283772,6.413130114444854e-219,True,4
NTg8,0.5072144217807795,9.260253386029482e-243,True,2
NTg9,0.48823909276639466,1.932535432413138e-222,True,2
tar-ATF2,0.5017179564121609,9.662069659325035e-237,False,2
tar-BRD4,0.7058256906285328,0.0,False,13
tar-CAV1,0.5262449330091856,1.7989184015179908e-264,False,2
tar-CD86,0.5210569714540938,2.0486971269943637e-258,False,1
tar-CMTM6,0.5103755727416249,2.8510277639081877e-246,False,3
tar-CUL3,0.6609158576233652,0.0,False,12
tar-ETV7,0.5287667138280191,1.8742054056355813e-267,False,10
tar-IFNGR1,0.7762635652652369,0.0,False,14
tar-IFNGR2,0.7729954963040565,0.0,False,15
tar-IRF1,0.7525900660522401,0.0,False,16
tar-IRF7,0.5180505515713413,5.934287683988126e-255,False,3
tar-JAK2,0.7608982555694884,0.0,False,15
tar-MARCH8,0.5255187072993952,1.28576489620611e-263,False,10
tar-MYC,0.5875994336084098,0.0,False,6
tar-NFKBIA,0.5799656685247611,0.0,False,8
tar-PDCD1LG2,0.5243292870342898,3.188712476719447e-262,False,6
tar-POU2F2,0.5065340175476384,5.219563859084016e-242,False,6
tar-SMAD4,0.6909601733796142,0.0,False,9
tar-SPI1,0.5457488115334397,3.295623160898396e-288,False,7
tar-STAT1,0.6767887732678691,0.0,False,15
tar-STAT2,0.6140744895031948,0.0,False,17
tar-STAT3,0.5034879219421305,1.1456000322292738e-238,False,1
tar-STAT5A,0.4963382817689216,5.887364030855904e-231,False,1
tar-TNFRSF14,0.5093971753344446,3.5142273041812045e-245,False,2
tar-UBE2L6,0.5231157020553234,8.330760154440995e-261,False,9
