,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.004649037,0.008216631,-0.012569087,0.00042329007,0.0023254945,-0.006583996,-0.0058196047,-0.002667674,0.0066499687,0.0055438336,0.050801843,0.008666054,0.0034436944,-0.0015847613,0.01443811,0.006868028,0.050405297,0.047614932,0.051461577,0.00033400432,0.052486237,0.00058935507,-0.007415593,-0.002264081,0.009291502,0.0005928599,-0.0068530724,0.039876036,0.04333618,0.005158434,-0.0057457904,-0.0049909535,0.014142762,0.0008792794
CXCL2,-1.9082154e-05,-0.00081299787,0.00042273675,0.00072169094,-0.0014912987,0.00019882481,-0.0019427235,0.004392118,0.00011820928,-0.0018213105,-0.0010791079,-0.00023468124,-8.800202e-05,-1.713597e-05,0.032111134,0.000373825,0.0055786115,0.0054526413,0.00067498843,0.0007789296,0.007472043,-0.001628364,0.0062957066,0.0011263287,-0.00018014362,-0.0014054885,-0.009880444,-0.0033020293,-0.002653936,-0.0025060866,-0.0031912725,-0.0020536508,-0.0003912586,0.00012242168
ATF3,-0.0035349668,-4.7288868e-05,-0.003981072,0.0067245336,0.001692073,-0.0070717866,0.004241759,-6.5741464e-05,0.0005363991,0.0074479976,0.0052435794,0.0009669272,0.0018999126,0.003991395,0.0190444,0.0065005175,-0.01677242,-0.020031352,-0.08549558,0.0036837594,-0.022549737,0.0025810616,0.005454685,0.0077975206,0.012560015,0.0053564226,-0.035283327,-0.024325607,-0.02695222,-0.0064882054,-0.0036810997,-0.0007107603,0.0062985113,0.0034852324
NFKBIA,-0.009101483,0.007985529,-0.009386962,-0.0070323013,0.0031871041,-0.0004927198,-0.0097015565,0.011381569,0.0073130433,-0.0002811005,0.042377222,0.003995579,0.0054188245,0.0007434784,0.042457987,0.010434725,0.12235815,0.11980867,0.008209449,-0.005218377,0.13558237,-0.007965965,-0.022751871,-0.010996045,0.0067948443,-0.014849168,-0.03540276,0.026835194,0.08468394,0.01674004,-0.0040040603,-0.007862958,0.0074872575,-0.011313683
TNFAIP3,-0.0028420337,-0.00065490534,-0.00026105696,-0.0027544827,0.0011246026,0.0016625795,-0.0058114007,0.001297767,0.0047170203,0.00023060999,0.007892277,0.0037387537,0.0059259217,0.0003035124,0.018474089,0.0031506415,-0.0029296565,-0.007679441,-0.06530138,0.00023746173,-0.0012726155,-0.0008418204,-0.00069436023,0.0021269748,0.0028107916,-0.0053123296,0.0085028615,0.014734168,-0.0060297363,0.0028134054,0.0032475071,-0.0018533327,0.0018634411,-0.004160933
PTGS2,0.0002153474,-0.00028990544,0.0006000379,0.00034594693,0.00032163592,-0.0013121158,0.00052420463,0.00022931646,-0.00039554905,0.0002222158,-0.0029301005,-0.00042244414,-0.00041091983,-0.00033797623,0.00050112646,9.119086e-05,-0.0020069857,-0.0022567587,-0.01970742,-1.6748667e-05,-0.0019401404,-0.0002399568,-0.00095765886,-3.2592667e-05,0.0005638913,0.00072588515,-0.0020067855,-0.0019054348,-0.0009444793,0.0006460222,-0.00034301798,-0.00021827381,-0.0001431426,0.00011816877
CXCL1,-0.006858178,-0.00066612166,0.0065659587,-0.0044946317,-0.0022688182,-0.0011322605,-0.0039855586,0.005208694,0.00804362,-0.0023520943,-0.029967515,0.0025512138,0.0037698187,-0.00014667514,0.03652257,0.0036787794,-0.008181459,-0.010340113,-0.06208335,0.0027496845,-0.0065020383,-0.0017873144,0.014331912,0.00394646,0.001383426,0.00054324965,-0.026505819,-0.029472977,0.014568667,0.013121555,-0.002695195,8.586534e-06,0.00012305465,0.0039595086
IER3,-0.00051451207,0.0007132242,0.0016779042,0.00041666147,-0.0014047307,-0.0034705163,0.0014699608,0.0002652686,0.0005676817,0.00023272536,-0.0033441691,-0.0015847734,-0.0006334642,-0.0010132525,0.0019350513,0.00015654996,0.011908813,0.014327163,-0.038735952,0.00012725563,0.012467795,-0.0013486213,0.0006781607,-0.00073837244,0.00035000255,0.0029390163,-0.018533688,-0.0073780995,0.0082029365,0.0029571487,-0.0024614634,0.0023262869,0.0019186724,0.0015269147
CD83,-0.0072786864,0.001895275,0.0007297075,0.0016598047,0.0033073577,-0.0017128526,0.00023989705,-0.00039221157,0.0019756139,0.0037293953,-0.010365738,-0.0009978658,0.0012822512,0.0020914702,0.014663719,0.0030445887,0.0031373603,0.0038123417,0.040084593,0.0027318678,0.0044473796,-0.002299991,0.004305759,0.0074720317,0.008032706,0.0020647324,0.010670525,-0.01839783,-0.0020339317,0.011293287,-0.006932147,-0.0009775134,0.0043533854,0.0011919921
CCL20,-0.003015941,0.0033293997,0.003072349,3.7903377e-05,0.00086160854,-0.0025041446,0.0012963474,-0.0022828716,8.822776e-05,0.00080634264,-0.009585577,-0.0028150454,-0.0019201697,-0.00051676814,0.016856164,0.0013948855,0.02608418,0.03361247,-0.00040904584,0.00043515838,0.02911197,0.0014724697,-0.0011919424,-0.0019033051,0.0018688733,0.0044522793,-0.024147965,-0.009216112,0.027651623,-0.00080040714,-0.00016548354,0.0026177976,0.0014276131,0.0032926688
CXCL3,8.275162e-05,-0.0019488902,0.0014923844,0.0013353028,-0.0014196604,-0.0005745077,-0.0019039626,0.0049270955,-0.00018689453,-0.0023455531,-0.005684427,0.00011184911,0.0010267504,-0.00018900253,0.060799897,-0.0006894613,-0.002657633,-0.0020900045,-0.014225327,-0.0008886705,-3.171233e-05,-0.002179279,0.0012178777,0.0013704462,0.00015918104,-0.001597902,-0.0016648965,-0.0034279823,-0.0042456607,-0.0059005404,-0.0021719257,-0.0019385903,-0.00041325248,0.00074690324
MAFF,-0.0010848333,0.00012506828,0.0013003843,0.0027615682,-6.888107e-05,-0.0030053728,3.1243122e-05,4.7982205e-05,0.00080190867,-0.000684175,-0.010317967,-0.00063510553,0.0008790057,-0.00031559943,0.011319753,0.0023250927,-0.023280647,-0.022715343,-0.0011909842,0.0005694828,-0.025394876,-0.00022801534,-0.00064186717,0.0012963322,0.0014393089,0.0026261327,-0.016458439,-0.005599469,-0.021880532,0.0054621706,-0.003479742,-0.00080155017,0.001702808,0.0017470181
NFKB2,-0.00023315455,0.0001257571,-0.001818888,0.00071043876,-0.00092677935,-0.0004355107,-0.0013664493,0.0020650197,0.001348376,-0.0015293726,-0.0022365057,-0.0010530422,-0.00013009792,-0.00095519697,0.00825209,-0.00015478316,0.01648886,0.01689229,0.0026359833,-0.0007730269,0.01911917,-0.0010783223,0.00035885,0.00027574148,-0.00033099236,-0.0017054826,0.011035668,0.0070601325,0.009072221,0.005292114,-0.0005546045,-0.0015223251,0.00016447088,-0.00036249709
TNFAIP2,-0.00032640516,-0.0038195287,-0.0039974134,0.0031976665,-0.0005915278,-0.0030051968,-0.00079874793,0.0035439886,0.0034392672,-0.0030614217,0.012155309,-0.00343558,0.0017579373,0.0029800043,0.024824694,0.004307591,-0.037766885,-0.041701168,-0.0076836543,0.0020300024,-0.04219392,-0.0042477283,0.0055756867,0.007692206,-0.00092864124,-0.0032882185,0.08800253,0.022085065,-0.017463543,0.028165055,-0.001711126,-0.001902347,-0.000612559,-1.504055e-05
HBEGF,-0.0015871191,0.0015491598,0.0010436531,-0.00060844526,0.0009913034,-0.0044911676,0.0015177587,-0.00060238445,0.0012790898,0.0004456986,-0.0016203778,-0.0022550533,-0.0008788596,-0.00310486,0.0015878184,-0.00065165653,-0.0052998005,-5.641023e-06,0.0027400816,-0.00068902783,-0.0047388226,-0.0011238961,0.0020063177,0.00047017526,0.0053127026,0.0059954436,0.038199708,-0.014832039,-0.0022293436,-0.006067022,-0.0021825463,-0.0012411717,0.0026108327,0.0037071954
KLF6,0.0051394203,-0.00033179685,0.0002422195,-0.0026414185,-0.0014372617,-0.009215145,0.003119985,-0.0005629036,0.0017134282,0.0031597628,-0.016889974,0.0022516593,0.0052977577,0.002755258,-0.0081224,0.008555382,0.015267026,0.016580464,-0.027779207,0.0009954365,0.011317027,0.0028672612,0.007822857,0.0093651945,0.006774559,0.0011808461,0.029574318,-0.017028548,-0.0095676305,-0.025793996,-0.004585569,0.0008430942,0.0050291764,0.0049418993
BIRC3,-0.00039985133,0.0005228084,-0.0014741542,-0.0007321208,0.00011891514,-0.00043996793,0.00051785144,0.00060513464,0.0006903514,-0.00014340754,0.004266078,0.0003863865,0.00071532285,-0.00054211315,0.008904244,-0.00011724253,0.0009474076,0.0014228395,-0.0106112305,-0.00087518414,0.0016806109,-0.00080951024,-0.0023747853,0.00071861444,0.00035491126,-0.0015058517,0.021415494,0.0057461415,-0.004944241,0.0009676532,-0.00023705345,-0.0014366371,0.00020595493,-0.0009619996
PLAUR,0.0070592845,0.005943722,-0.0014988226,0.0070855394,-0.0070976173,-0.008250801,-0.00042887166,-0.00606552,0.005082971,0.0027663258,0.020642053,-0.0009589018,0.0024269004,-0.012185552,0.011605335,0.009875732,-0.016223874,-0.012720282,-0.058426335,-0.00059133815,-0.018490564,-0.0037017402,0.033632055,-0.013278606,0.010424412,0.01819232,-0.13699335,-0.025465034,-0.008336535,-0.0038933565,-0.0067876377,0.0031515919,0.008495001,0.0008801202
ZFP36,0.007512906,0.0053790663,-0.01706434,0.0041865907,0.007894941,-0.004302798,-0.0018023525,-0.00035134263,-0.0009543735,0.01133631,-0.014898283,0.007843518,0.002842088,0.004686398,0.006631647,0.008500088,-0.019256815,-0.026285047,0.017600045,0.0031710905,-0.025780087,0.008058308,-0.0046918285,-0.0041731996,0.012298268,0.0016576495,0.07296522,-0.025420362,-0.010123629,-0.012280102,-0.0067066406,-0.0024631773,0.015472492,0.0038313824
ICAM1,-0.0032139325,0.00025654119,-0.0046435124,0.009045853,-0.0017550288,-0.004561598,0.0033777645,-0.00060495484,0.00089628337,-0.0038812936,0.013706971,0.0021631448,-0.00028795403,0.0015934967,0.02993488,0.007960142,-0.052072268,-0.05364735,0.14295071,0.003450959,-0.057839483,-0.0036836735,0.014321347,0.005332522,0.0029327846,0.0059659774,-0.028022645,0.01681632,-0.038318038,0.032929786,-0.0065152934,-0.005171616,0.00052461115,0.008656491
JUN,0.014138843,-0.0029062394,-0.0076421057,0.0026766495,-0.0003113039,-0.017639251,-0.001437909,0.008517333,0.0041709943,-0.0028310271,0.019988136,-6.3843094e-05,0.0028016055,-0.0021373567,0.012422149,0.013521834,-0.0107203955,-0.021002803,-0.0017056598,-0.002165628,-0.02551548,-0.0008304309,-0.008222514,0.0036631431,0.0060537625,0.0019699836,-0.027333472,0.0004989989,-0.042956498,-0.013798285,-0.011743023,-0.009232331,0.008312714,0.0019590445
EGR3,-0.001351916,0.0005868928,0.00056857424,0.00058396766,0.0011133869,-0.0013758742,0.00048213263,-0.00054903753,0.00034212644,0.0011576683,-0.0023714467,-0.0008155694,-0.0002039077,0.00010204579,-0.0035784098,-9.164345e-05,-0.002154695,-0.0014101572,-0.012983411,0.00051225856,-0.0027617416,0.000647046,0.0007549941,0.00044421255,0.0024096326,0.0017555652,0.0060443487,-0.0036147463,-0.0036842923,0.0046094023,-0.0012434871,-0.00024432346,0.0009239347,0.0011758566
IL1B,-0.006015483,0.0026839683,0.011309531,-0.002427499,-0.0014321926,-0.008798786,-0.0010234436,0.00023051398,0.0059027607,-0.004216198,-0.00679629,-0.004572732,-0.0010207999,-0.0075983224,0.05309823,0.0009097871,0.025433365,0.027405435,0.007243078,-0.0027934401,0.029144702,-0.0029168862,0.0047789635,-0.0059575727,0.0045399866,0.007138639,-0.058116212,-0.036173712,0.012932343,0.01753718,-0.0037114623,0.0010108125,0.001949261,0.0044574365
