,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.0018135099,-0.0015611408,-0.0004116852,0.0092929015,-0.0025989315,-0.0012287505,0.006010477,-0.018908309,0.008670799,-0.005922279,-0.0038914403,0.00039988811,-0.003644649,-0.005332147,0.00022033205,-0.0074083162,0.005271857,0.008802756,-0.012158918,-0.007133782,0.0066344487,-0.008422731,-0.0022141025,-0.0029252162,0.0038986632,-0.0045051533,0.0051882,-0.009281912,-0.007908709,-0.007963393,-0.00608683,-0.012270399,-0.012980797,-0.010872153
CXCL2,0.0021501055,-0.0022817096,-0.0036554744,-0.0003467559,0.0068267197,-0.0031290397,-2.732101e-05,-0.0004085468,0.00034005125,0.00010145258,-0.0014723085,-0.0001159694,-0.0010051951,-0.001546877,-0.0041151475,0.0034900685,-0.0018068101,-0.0047731535,-0.0013320878,-0.0006866753,-0.0013439471,-0.003042821,-0.0024756605,-0.0028747646,-0.0030698664,0.00026041197,-0.0034194293,-0.0019480177,-0.0022329541,0.0014689147,-0.0012699885,0.00049419474,0.002182462,0.0024191174
ATF3,0.004056835,-0.004492711,-0.006960068,0.0013694159,0.011490761,-0.011623478,-0.0010409213,-0.01050525,0.009249623,-0.001886798,-0.0022726208,-0.005101075,0.0013831363,-0.01249311,-0.0050532185,0.0015243044,-0.008024563,-0.0055977413,0.0032918989,-0.0020884534,0.0016164719,-0.0051609213,-0.0004929406,-0.0027406933,-0.011695882,-0.0019521861,-0.0012746768,-0.012908951,-0.0061389906,0.0067698276,-0.008134733,0.0030945276,-0.0025838183,0.012641017
NFKBIA,-0.004932376,0.004722942,0.0010527497,0.015816897,-0.009085469,-0.0013736533,0.004746393,-0.025771584,0.019581627,-0.0046318364,0.0039575645,0.00236409,0.0005135323,-0.010196722,-0.011087902,-0.009827733,0.0035335422,-0.00091885077,-0.02412997,-0.0075613083,0.005555047,-0.008058013,-0.0036918772,-0.003529151,0.006490915,-0.011847132,0.01228761,-0.0045560654,-0.006280151,-0.017194597,-0.010304085,-0.015797287,-0.023719987,-0.021095527
TNFAIP3,-0.007618679,-0.0005883144,0.00069063157,0.012136925,-0.0030496228,-0.0040510395,0.0023137673,-0.010842728,0.008327725,0.0019168203,-0.0034800062,-0.006055144,-0.0058147614,-0.008591631,-0.0101937,-0.00560712,-0.0067079742,-0.004851135,-0.006108389,-0.0003438651,-0.0019303897,-0.00045422575,-0.0063560405,-0.007264512,-0.0016535688,-0.0063746176,0.0026168176,-0.012350387,-0.0033946584,-0.009970462,-0.013866455,-0.004785007,-0.0070729256,-0.0014454497
PTGS2,-0.00065446895,-6.40912e-06,-0.00032710578,-0.00033376142,0.0010746057,-0.00022004887,0.00016768559,-0.0011326697,0.00088603655,7.2913313e-06,0.00018160371,-0.00029425498,0.0009800942,-0.0014323768,-0.00016343083,0.0007066601,0.00032263124,-5.4700165e-05,-0.00042458897,8.912752e-05,0.00016825066,0.0007288515,-0.00012414996,-0.00022978446,-0.00033556105,-0.0004962788,0.0003798543,-0.0004796421,-9.652185e-05,-0.00025787755,0.0004534566,0.00037442957,0.00088514795,0.0015440945
CXCL1,0.0075451257,-0.004927894,-0.0056075044,-0.00096859934,0.011663643,-0.0064282985,0.001454257,-0.0035123515,-0.0005800372,0.003389211,-0.0025519058,0.00060578523,0.0009186425,-0.00711542,-0.004862795,0.00809626,-0.002135244,-0.009818289,-0.0071911323,-0.0028697401,-0.0020235672,-0.01211244,-0.007349449,-0.0077775866,-0.0065448335,-0.003784422,-0.011264604,-0.012243341,-0.0044544293,-0.0025912097,-0.009029832,-0.005070197,-0.0007354832,0.010173912
IER3,-0.0026289776,0.00029756135,0.00018117348,0.0039582085,-0.0024526315,2.9772007e-05,0.0022880104,-0.006240365,0.0026946352,-0.0030637532,-0.00137316,-4.549711e-05,-0.00014771035,-0.005644454,0.00026191917,-0.0027142148,-0.00029850926,0.0006991986,-0.0018662913,-7.127694e-05,0.0005278165,-0.0008929476,-0.000101927166,0.00016770075,0.003679095,-0.0011745379,-0.00022818687,-0.0022815743,-0.0012076497,-0.0020066905,0.0010992349,-0.0019024735,-0.0018176552,-0.0029927434
CD83,0.004458503,0.0034886266,-0.0033236076,-0.0029691705,0.011752769,-0.009123829,-0.0009827041,-0.006763401,0.004723294,-0.005745894,-0.007191523,0.0013793614,0.00019435422,-0.0056022424,-0.0045926715,-0.0017376133,-0.0022406904,-0.0035099885,-0.009628922,-0.005518185,-0.00022357731,-0.0065066926,-0.0010948661,-0.0007044768,-0.0034795,-0.002128032,-0.0042474614,-0.007676044,-0.003735078,0.0031547875,-0.0026275122,0.0010969567,-0.0052462905,-0.0015454113
CCL20,-0.0017080461,0.0011784578,0.0002933807,0.0041965037,0.001041157,-0.00020761475,0.0004835445,-0.0054477667,0.0016832732,0.0011420458,-0.0037571916,0.0011061874,-0.0014919466,-0.006379007,-0.00279906,-0.004128978,0.0039832788,-0.00069315196,-0.0029627432,-0.0005895814,0.003912434,-0.0005637193,-0.0003303015,0.00018303048,-0.0003915705,-0.0042146468,0.0014957758,-0.0025832283,-0.0006636707,-0.003283426,-0.0013098753,-0.0024922676,-0.0027582152,-0.0024709655
CXCL3,0.0010956749,-0.0019341825,-0.0014194977,-0.001294162,0.0073275194,-0.0025179281,-0.0012076907,-0.0012486496,0.00054667884,0.0001073542,-0.0005260917,-0.00088180427,-0.0013094739,-0.0034448167,-0.0040873666,0.003405718,-0.0021930856,-0.0048520174,-4.442905e-05,-0.00020183023,-0.0002458272,-0.00072818715,-0.0021097057,-0.0024438316,-0.004008064,0.0014675317,-0.0034542591,-0.0019719638,-0.00043255056,0.00039269024,-0.001692732,0.0015104794,0.0028827724,0.0037313753
MAFF,-0.00043145628,-0.0014870629,0.00033726913,0.00011097745,0.001724683,-0.002435328,0.0007663888,-0.0045839683,0.004577943,-0.0017650777,-0.0037541334,-0.0013588096,-6.60089e-05,-0.004237863,-0.0012595571,-0.0015846203,-0.0012740296,-0.0005190486,-0.004487566,3.3710272e-05,-0.0008594103,-0.0029263496,0.00015124872,-0.0004130935,-0.002896938,-0.001394414,-0.0017434008,-0.0045966185,-0.0006435763,-0.0010288754,-0.0032829896,-2.1876533e-05,-0.002898263,-0.0012628199
NFKB2,0.00047055128,0.0007601885,-0.0015096763,0.0020246468,-0.0012276293,-0.001806119,0.0015281412,-0.003546084,0.0025124238,-0.002285541,-0.0018521977,-0.001472084,5.8871694e-05,-0.0014580176,-0.0011266706,-0.0015190232,0.0018660934,-0.0017596417,-0.0024423893,-0.0018076248,0.0019107107,-0.00067517476,-0.0005391666,-0.00141505,-0.00049834995,0.0002301257,-0.0014468891,-0.0012615137,-0.0024579572,-0.0015778611,-0.0021416584,-0.0010973002,-0.0021683795,-0.001561609
