,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.41903552446902,2.4749926383477835e-158,True,1
NTg10,0.4546950596004507,1.6315939899556078e-189,True,3
NTg2,0.49444516912536085,6.0409381855868e-229,True,2
NTg3,0.41360640470287996,6.607759864631284e-154,True,1
NTg4,0.4986106586439163,2.182870868091147e-233,True,0
NTg5,0.40306388537677845,1.5305889349181062e-145,True,0
NTg7,0.4764910808823781,1.7313476341997638e-210,True,2
NTg8,0.4365153455568306,3.767511962467492e-173,True,5
NTg9,0.43008320485341084,1.3505039169544325e-167,True,4
tar-ATF2,0.3897467177606687,2.1225339722179152e-135,False,2
tar-BRD4,0.5148477598929225,2.650387105246004e-251,False,3
tar-CAV1,0.5091482149777821,6.65015048613371e-245,False,3
tar-CD86,0.4782157315457481,3.2573265648985945e-212,False,1
tar-CMTM6,0.4233217761052655,6.930715965040515e-162,False,1
tar-CUL3,0.5642778414772132,2.943008883817e-312,False,1
tar-ETV7,0.43659048187919075,3.2393491474683115e-173,False,3
tar-IFNGR1,0.5251298937141258,3.6779920130747696e-263,False,1
tar-IFNGR2,0.5949563799667114,0.0,False,1
tar-IRF1,0.534402345033974,3.283222303874459e-274,False,5
tar-IRF7,0.437751268235068,3.125636379416082e-174,False,7
tar-JAK2,0.5998601750810187,0.0,False,2
tar-MARCH8,0.4982992404470164,4.712573741434304e-233,False,1
tar-MYC,0.5627533599672109,3.2010744215515e-310,False,6
tar-NFKBIA,0.5321832090836838,1.5562742678992847e-271,False,2
tar-PDCD1LG2,0.3485632959856795,7.111810001713614e-107,False,0
tar-POU2F2,0.4824445418813474,1.7369390827482343e-216,False,2
tar-SMAD4,0.621064349513296,0.0,False,7
tar-SPI1,0.5033200532588736,1.7465930353633822e-238,False,4
tar-STAT1,0.520723122873462,4.984534607760346e-258,False,4
tar-STAT2,0.5733954992113204,0.0,False,0
tar-STAT3,0.4562877796209303,5.383002744549997e-191,False,1
tar-STAT5A,0.4632830526498923,1.348325284601759e-197,False,1
tar-TNFRSF14,0.42878241030307823,1.7346991263277154e-166,False,3
tar-UBE2L6,0.48670949439942934,7.394136586161634e-221,False,5
