,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.0019491734,-0.0020050593,0.0015604902,0.0004795956,0.0064191106,-0.008160077,0.0019837478,-0.00051876035,0.0032680896,-0.007762444,-0.001126346,0.0037143207,0.0052592754,-0.0048033716,0.0040821573,0.0052109472,0.0018763178,0.0015850165,-0.003713866,-0.0040416755,-0.0004948288,-0.0076955585,0.0016678787,-0.0019294597,0.0036370456,0.0025873408,-0.010492265,0.009789527,-0.004409857,-0.002458194,0.0024967107,-0.0007556863,0.004606078,0.0046846303
CXCL2,0.00042634562,-9.659852e-06,-0.0009916988,0.00081735646,0.00026799884,0.0008965574,-0.002011635,-0.00029479762,-0.00010085229,7.6126555e-05,0.0003754846,0.0005337861,0.0004601828,-0.00058366946,-0.0020300301,-0.0013230082,0.00017303207,0.0005746259,0.00046020251,-0.0005910588,-0.0012795025,0.0009673791,0.00075579697,-0.00034588276,0.00017151382,-0.00033639107,-0.0008847469,0.0007074277,0.00052236306,-0.00025221964,-0.0001814271,0.0010917824,-0.00062038813,0.00068423135
ATF3,0.0017337992,-0.0013537066,0.00070589746,0.0015132735,0.005335578,0.0012748308,-0.009598899,-0.0005268526,0.0020404267,-0.0013668254,-8.382097e-05,0.0068208035,-0.00087233033,0.002409938,0.0004326897,0.0030377146,-0.0006053761,0.0010218301,-0.0050913277,-0.0018819105,-0.0011633117,-0.00011284546,0.004272747,-0.0025316528,0.00033272596,0.00026109462,-0.0033753533,0.0030018445,0.0028524834,-0.0032235729,0.00029955275,0.0017231082,-0.0005460224,0.005151365
NFKBIA,-0.0013134818,-0.0067146737,-0.0023545288,-5.4970962e-05,0.006582455,-0.0105754975,0.00694633,0.0038959733,0.0030354066,-0.013080968,0.0005337148,0.0009333425,0.007939396,-0.009096515,-0.0020572608,0.002484478,0.002889421,-0.00069744047,-0.000772196,0.0042030895,-0.00081544684,-0.011463248,0.0037884826,0.004372382,0.006482271,0.0005842049,-0.015702095,0.004375456,-0.0026174504,-0.0034807064,0.003232631,0.0014130471,0.0057093566,0.005842766
TNFAIP3,-0.00073439186,-0.00025548632,-0.0005267034,0.00046079166,0.00052043307,-0.0037191168,0.001444211,0.00010537529,0.0016751608,-0.005458866,-0.0010450975,-0.00219942,0.0034767105,-0.007006963,-0.0017850543,-0.0014584524,0.0022182332,0.0004922675,0.00062268943,0.0022653043,-0.0025653357,-0.002915069,0.0014296424,0.0023686225,0.0028885202,-0.0010613453,-0.0055795754,0.0032281966,-0.0010824209,-0.00030067514,-0.0025878053,-0.0012218185,0.005313502,-0.0014309942
PTGS2,-1.5809339e-05,0.00022257456,0.00028934967,0.00028589196,0.00017544886,-5.970218e-05,-0.000534253,-0.00013680577,-7.002462e-05,-4.76743e-05,6.8944473e-06,0.00012346052,-4.4757042e-05,0.0003234897,0.0005799061,0.0005128907,0.00017857375,0.00026367145,0.00017394456,6.5448665e-05,-7.836656e-05,3.7074922e-06,7.22818e-05,-3.1827824e-06,0.000169868,-0.0001792633,-0.00044123555,0.00046280018,4.5307446e-05,-0.00031418362,-0.00022615284,9.873812e-05,9.38725e-05,0.00039294432
CXCL1,0.002202662,0.0024787025,-0.0039775497,0.00095325295,0.0014220285,0.0035971932,-0.006015736,-0.00052075443,-0.0015580403,-0.0014502571,-0.0015031302,0.0019386542,-0.00034716088,-0.004924608,-0.002172936,-0.0024601866,0.0023546852,0.0025260649,0.0031331195,0.0016985538,-0.0057562166,0.0015452639,0.0041895714,0.0004997678,0.0050119804,0.0008826607,-0.0062390533,0.0016936568,-0.00017883022,0.00042719117,-0.00016472276,0.002233479,-0.0010337617,0.0052756094
IER3,-0.0011866821,0.000109860164,-0.00056678033,-0.0007295945,0.001104547,-0.001129372,-0.00020507257,0.0011057227,0.0013044785,-0.00015704107,-4.381505e-05,0.001594898,0.00071013643,-0.001164607,0.0011913825,0.00043906164,0.0013162593,-0.0006331005,-0.001317912,-0.0003628779,-0.0015339514,0.00017032212,0.0005928038,-0.0004639121,0.0001950262,-0.00025688598,-0.00062155933,0.0027558168,0.0009050837,-0.0013073186,-0.00040619168,-0.0006993327,0.002172074,-0.0014761736
CD83,-0.0010659604,0.00016515964,0.0019190069,-0.00023721356,0.0031637081,-0.0012838705,-0.002608013,-0.00011972057,0.0010256831,-0.003117936,-7.42275e-06,0.0034002708,-3.301723e-06,-0.0017823895,0.00017002324,0.0005079963,-0.002769114,0.00020149883,-0.0032499542,-0.0005138954,-0.0017342793,-0.0019615581,3.931609e-05,-0.0005065549,0.0013189111,0.0010024237,-0.0052363435,0.001372092,0.0016619009,-0.0021467614,0.001431026,0.0010779459,0.00016662336,0.00028101925
CCL20,-0.0011117472,0.0009729306,-0.0010927704,-0.00031160805,-0.001001743,0.0011101282,0.00019134638,0.0017130208,0.00026522254,-0.0013655853,0.00023251967,0.00045727583,-0.002789187,-0.0023655246,0.0017213664,-2.2793494e-05,-0.0008561851,-9.969587e-05,0.00045815637,-0.0009191055,-0.004453676,-0.00043841448,1.4283694e-05,0.00045721215,6.549213e-05,-0.00011308561,-0.00011735748,0.00626654,0.0016630716,-0.0002533417,0.00082199986,-0.0008979358,0.0011306071,-0.0027649088
CXCL3,0.00073611835,-0.0005386613,-0.0012109258,0.0013635638,9.864564e-05,0.0009785853,-0.002227392,-7.742725e-06,-8.092719e-05,0.00015258494,0.00048968324,0.000539553,-7.678177e-05,-0.0003431406,-0.001486677,-0.0011284603,-9.3447314e-05,0.0005318287,0.000453335,-0.0002574518,-0.0010327231,0.0003473275,0.00049539836,-0.0009399676,9.3301525e-05,-0.001226874,-0.00027494878,-0.00023680128,0.0005123497,-0.0008416386,-0.00023910814,0.0017413503,-0.0008345743,0.0014393236
