,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5254436719405979,1.5750557592168248e-263,True,0
NTg10,0.49710129829994165,9.03081978643439e-232,True,2
NTg2,0.5101667237104325,4.876957279629672e-246,True,3
NTg3,0.5116005614920824,1.213993754159225e-247,True,3
NTg4,0.5344489314044493,2.8834550928270715e-274,True,2
NTg5,0.5284913153995507,3.978549413971398e-267,True,0
NTg7,0.4725247850703083,1.4767962473685097e-206,True,1
NTg8,0.5134035739637359,1.138654910404667e-249,True,2
NTg9,0.47334380378142416,2.300637183622585e-207,True,3
tar-ATF2,0.47582428086190387,7.995993298524002e-210,False,1
tar-BRD4,0.5786177160093872,0.0,False,4
tar-CAV1,0.5045040345846881,8.875250916257451e-240,False,3
tar-CD86,0.5080495613927317,1.1027764738977811e-243,False,4
tar-CMTM6,0.49071919232002487,5.042647568736883e-225,False,3
tar-CUL3,0.5769563557414769,0.0,False,3
tar-ETV7,0.5029391248863814,4.5439822061382874e-238,False,0
tar-IFNGR1,0.6145650954326425,0.0,False,7
tar-IFNGR2,0.594506390275725,0.0,False,3
tar-IRF1,0.5564341958981693,6.833330079024617e-302,False,2
tar-IRF7,0.5253735398957553,1.903929995239125e-263,False,3
tar-JAK2,0.6254072066929651,0.0,False,4
tar-MARCH8,0.5065240223527383,5.353698952263167e-242,False,3
tar-MYC,0.5498997057730719,1.8252065451012352e-293,False,3
tar-NFKBIA,0.5543224972468525,3.787162437380302e-299,False,3
tar-PDCD1LG2,0.5238100887557853,1.289952397091729e-261,False,3
tar-POU2F2,0.5241803040218167,4.7630918786886083e-262,False,0
tar-SMAD4,0.5881219248922823,0.0,False,7
tar-SPI1,0.4867014524080155,7.536812373744995e-221,False,2
tar-STAT1,0.5956982390288277,0.0,False,3
tar-STAT2,0.5752806569774818,0.0,False,3
tar-STAT3,0.5023301109407524,2.0903600390037285e-237,False,1
tar-STAT5A,0.523597806935419,2.2826201930318803e-261,False,1
tar-TNFRSF14,0.5178514147684369,1.0033396501319532e-254,False,4
tar-UBE2L6,0.5144671237252441,7.153136654271657e-251,False,4
