,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.45036678386556167,1.5822841265698204e-185,True,3
NTg10,0.4652039476542876,1.9498306467765003e-199,True,5
NTg2,0.4812495195476326,2.8406274065870245e-215,True,2
NTg3,0.4763700834232122,2.28597627219839e-210,True,7
NTg4,0.6105793195446068,0.0,True,14
NTg5,0.4479394819333812,2.5697554528958796e-183,True,1
NTg7,0.4117696542138008,1.991433953404657e-152,True,5
NTg8,0.5038868102488746,4.2014736113163904e-239,True,8
NTg9,0.3932912849129818,4.7082001437217026e-138,True,2
tar-ATF2,0.5174540888692676,2.858037492939934e-254,False,6
tar-BRD4,0.6340761164384635,0.0,False,8
tar-CAV1,0.503068283287909,3.286259185295791e-238,False,4
tar-CD86,0.4863029097067715,1.942005271943952e-220,False,7
tar-CMTM6,0.5254837737952792,1.4131758534516401e-263,False,3
tar-CUL3,0.729800243730522,0.0,False,13
tar-ETV7,0.5234677255751645,3.2376465178318925e-261,False,9
tar-IFNGR1,0.9069632046336248,0.0,False,18
tar-IFNGR2,0.8870315987391819,0.0,False,18
tar-IRF1,0.8780591468179775,0.0,False,19
tar-IRF7,0.5166615315273294,2.2967319785026505e-253,False,7
tar-JAK2,0.8893814843421552,0.0,False,19
tar-MARCH8,0.5460938112651313,1.2129571884147146e-288,False,9
tar-MYC,0.5821222556347674,0.0,False,8
tar-NFKBIA,0.6657328539806198,0.0,False,9
tar-PDCD1LG2,0.4343203517672347,3.055406031910427e-171,False,4
tar-POU2F2,0.6189381050081026,0.0,False,14
tar-SMAD4,0.8060984645329557,0.0,False,14
tar-SPI1,0.511692216065229,9.581375341281042e-248,False,5
tar-STAT1,0.8616317673889883,0.0,False,19
tar-STAT2,0.7718458026627187,0.0,False,19
tar-STAT3,0.5102364933315293,4.0764307720723113e-246,False,4
tar-STAT5A,0.45312083093232575,4.669539238026506e-188,False,4
tar-TNFRSF14,0.4598666928557525,2.3602368383225274e-194,False,4
tar-UBE2L6,0.4756146742525792,1.292551856969622e-209,False,10
