,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.0011326395,-0.01852945,-0.004326034,0.0068785036,0.014151627,-0.018179387,0.012104426,-0.007929219,-0.0033025632,-0.00071428757,0.1518538,-0.006002305,-0.0071498556,-0.0029372387,0.043244097,0.005861775,0.043099716,0.035207093,0.03252505,-0.016083676,0.0072468896,-0.008022802,-0.0059723547,0.008096493,0.006426386,-0.0371636,0.017631872,0.061797287,0.09121827,0.0420786,-0.019705715,-0.011995362,-0.005172952,0.0008721531
CXCL2,-0.004610339,-0.0018721261,0.006336697,0.0061897477,0.0055903094,0.0039989525,-0.0083040735,-0.008199011,-0.0037410494,0.005406033,-0.04005813,0.0043208105,0.0012305779,0.002702623,0.13896807,0.00066520745,0.03796064,0.026284274,0.031497736,0.0042034234,0.027145362,0.0037859129,0.039572194,0.0047645974,0.0017083767,0.00051709363,-0.016268358,0.002193163,0.025211295,0.011565405,-0.008002576,0.004594239,0.00067144225,0.00068309676
ATF3,-0.029329892,-0.030195508,0.007553347,-0.011894846,0.021177135,-0.0018601058,-0.016357575,-0.02473419,0.003868617,0.01968753,-0.030268535,0.0072762966,0.0039115236,0.009298613,0.10557614,0.004006136,-0.123716585,-0.13774537,-0.085633494,0.014636642,-0.13677922,0.0050143832,0.06063871,0.027761675,-0.006023986,0.024463264,-0.06608855,-0.021597063,-0.14739276,-0.02761135,-0.0075592436,0.002699034,-0.0028312316,0.012438521
NFKBIA,0.007327316,-0.008724016,-0.027445218,-0.0073468597,0.04864617,-0.018295994,0.011937306,-0.017805351,0.00568288,0.018042654,0.22075345,-0.012460013,0.008176214,-0.00012368661,0.16325447,0.025024077,0.25476342,0.2282698,0.026638094,-0.0079975715,0.20398097,-0.0030337574,-0.028628869,-0.04629742,0.009147182,-0.03300801,0.09099623,0.084744364,0.34215543,0.14981188,-0.018574659,-0.004438622,0.005156827,-0.0101606725
TNFAIP3,-0.00049419526,-0.0135641815,-0.007389332,-0.008849683,0.030381886,-0.002277919,-0.0016356289,-0.03323682,0.0061049936,0.012099618,0.041877102,0.003883935,0.014674598,0.005272289,0.085335985,0.010017583,-0.055473447,-0.07156131,-0.051513284,0.009132464,-0.08228826,0.00935936,-0.000699063,0.022254664,-0.002224137,0.010507613,0.010518847,0.026241546,-0.037414126,0.020667072,-0.0069998424,0.00909443,0.0036031245,0.0025776427
PTGS2,-0.0011218385,-0.0026855697,0.0049550743,-9.4790375e-05,0.0033976894,0.0014291266,-0.0018528118,-0.007921657,-0.0015288282,0.0022488404,-0.013621411,0.0026270198,0.001301988,0.003995295,0.018153816,0.00017770827,-0.0035737597,-0.0086004585,-0.012884162,0.00034271626,-0.0067693735,0.0014577721,0.0056243488,0.0011883161,-8.444484e-05,0.0033254644,0.003954581,-0.0010660627,0.0014401358,0.010276331,-0.00033419864,0.0034348853,-0.0010182572,-0.0027969533
CXCL1,-0.00022222259,-0.011405578,-0.0098990975,-0.010280139,0.020163298,0.0055410303,-0.010268282,-0.000112924325,0.008694476,0.021065673,-0.12659787,0.015185759,-0.0017532244,0.005037999,0.119021825,0.039626893,0.0036091716,0.022833066,-0.008283043,0.011193546,0.0041523576,0.000973172,0.050158437,0.0020400481,-0.013254353,0.035449687,-0.039658766,-0.063427836,0.05577412,0.039555382,-0.007035771,0.0020471166,0.004565721,0.011000031
IER3,0.00020032647,-0.00185113,0.0073462045,-0.0005657056,0.00537837,-0.004595179,0.0043623494,-0.008734183,-0.0011082026,0.0037146572,0.003910964,-0.0014164874,0.0007645331,0.0042032297,0.046942264,0.0061109103,0.03960039,0.05160938,-0.01720988,0.005877351,0.03689793,0.005012672,0.001119568,0.016301407,0.0017581811,0.01312817,-0.006795959,-0.0018144272,0.07105626,0.0045058527,-0.0024954416,0.00209935,0.006228859,0.009559786
CD83,-0.012709086,-0.018262947,0.02484202,-0.011987519,0.032223128,0.0018168647,-0.0034513657,-0.018771047,0.0038334678,0.018423226,-0.00562205,0.003512038,0.011433974,0.010429599,0.09367478,0.010360654,-0.01348004,-0.010825893,0.09978991,0.017504644,-0.021440204,0.0031209684,0.028285118,0.04278064,-0.0010635217,0.040483978,0.0749531,0.0016037421,0.016118398,0.03943407,-0.000885601,0.0031033268,0.00709642,0.01520234
CCL20,0.0028038907,-0.0048591187,0.016570311,-0.011156993,0.022811254,-0.0031391843,-7.6436845e-05,-0.018042535,0.0021402247,0.012390521,-0.034664363,0.0036102948,0.009586585,0.0056799087,0.11082612,0.0070588794,0.116977155,0.12171648,0.055363875,0.01223015,0.09987954,0.008916531,-0.0005041013,0.0119815925,-0.0037730837,0.022277387,-0.016511131,-0.022753539,0.14640027,0.026562488,-0.0011480479,0.012436036,0.0042866576,0.00849663
CXCL3,-0.0061946423,-0.0014177014,0.002925144,0.0019120306,0.005465048,0.00047871284,-0.0044063795,-0.0066672717,-0.0028641769,0.010514821,-0.04289374,0.0027995238,0.005671563,-0.0016949088,0.2444083,0.00069782225,0.011854901,0.017832847,0.019282678,0.0037251648,0.00932001,0.0038801415,0.03426687,-0.0019183536,-0.0020701035,0.0041012038,-0.0098534115,0.00019996722,0.017908696,0.0039879074,-0.0022230665,-0.0014065175,0.00058690563,0.0020718842
MAFF,-0.005343976,-0.010407302,0.0061832676,-0.0049801404,0.005410882,0.00025511938,-0.0038763122,-0.0054338044,0.0031024697,0.002640115,-0.043732785,0.00051969255,0.0023061326,-0.0041205185,0.07727835,0.0062151244,-0.08669157,-0.08311945,0.006089836,0.0007455717,-0.10032482,-0.0055175456,0.009883051,0.0028555472,0.0005386716,0.01792274,-0.02483129,-0.020423422,-0.08104028,0.02490577,-0.006722622,0.001038298,-0.0011312172,0.0033804777
NFKB2,-0.0030643202,-0.0030959828,0.0030727398,-0.0039642844,0.009194338,-0.00051491463,0.0010950449,-0.008849297,-0.0008012632,-0.0008397218,0.010325659,-0.0022408462,0.007320903,0.0022642645,0.034644265,0.0014436354,0.019102124,0.021206241,0.016144855,0.00040180405,0.014399652,-0.0004643439,0.0066493126,0.009708692,0.0033085477,0.007979821,0.026626876,0.0026759089,0.029510664,0.018778833,-0.0026774525,0.00010105296,-0.0026608445,-0.0013400553
TNFAIP2,-0.021744704,-0.01522107,0.0020470251,-0.0018869902,-0.015240379,-0.00219102,0.0017783765,0.0062882225,0.01534041,-0.009141602,0.014712774,-0.0038508885,-0.005271555,-0.0021448485,0.020809535,0.00482114,-0.16289297,-0.15075178,0.014122376,-0.000641586,-0.15842807,-0.021265997,0.029910462,0.024691468,0.004536456,0.0022946012,0.1605068,-0.034486156,-0.1055847,0.1086729,-0.026484719,-0.016574178,-0.011228193,0.0064569307
HBEGF,-0.0051962757,-0.011072393,0.018494027,-0.005636559,0.016918043,0.00064609095,0.0052232,-0.01658584,0.0021683532,0.0048431647,-0.009873709,-0.0031718812,0.0054426165,0.008972767,0.036766205,0.005870133,0.0303482,0.033968396,0.034476455,0.014109235,0.035439745,0.0097872205,0.008674445,0.022160951,0.0036612276,0.022381417,0.068676785,-0.009920563,0.07416938,0.0066054254,-0.0024961338,0.0048052436,0.0059635444,0.009807043
KLF6,-0.009106548,-0.013852265,-0.013482907,-0.0015301685,0.023142416,-0.012789417,0.006815808,-0.024930106,-0.0032748668,0.0022602517,0.008756077,-0.00084105844,0.0039635086,-0.0030964445,0.026223402,0.007251653,-0.0483969,-0.023332061,-0.055624317,0.001667997,-0.047765467,-0.0008642885,0.024091605,0.027285378,0.009829616,-0.0051317574,0.010149932,-0.016058763,-0.07455237,-0.05674025,-0.026859194,0.005470046,0.003896308,0.018130321
