,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.4850946327738043,3.3975059917205955e-219,True,5
NTg10,0.4981541456579671,6.743154726870133e-233,True,4
NTg2,0.524285263821303,3.590217668185539e-262,True,4
NTg3,0.49779076268163275,1.652870179026163e-232,True,3
NTg4,0.5636967083605787,1.763444175306e-311,True,10
NTg5,0.49853078303450055,2.659424807797835e-233,True,4
NTg7,0.4628890804726362,3.203912605220285e-197,True,3
NTg8,0.52787448580733,2.1420425539122916e-266,True,5
NTg9,0.48164786882625976,1.1204648012339747e-215,True,2
tar-ATF2,0.4720952295163119,3.9078813372169887e-206,False,3
tar-BRD4,0.6831332161648764,0.0,False,12
tar-CAV1,0.5067515156560337,3.0043532770777006e-242,False,1
tar-CD86,0.5108722694482977,7.940791623054425e-247,False,5
tar-CMTM6,0.48549137951523713,1.3292054159047293e-219,False,3
tar-CUL3,0.6467427178492574,0.0,False,10
tar-ETV7,0.5172451096266738,4.953813330874021e-254,False,10
tar-IFNGR1,0.7704113292752327,0.0,False,14
tar-IFNGR2,0.7633132392988501,0.0,False,14
tar-IRF1,0.7600100399723827,0.0,False,16
tar-IRF7,0.5199295132846704,4.109850607646542e-257,False,5
tar-JAK2,0.7651260290795449,0.0,False,15
tar-MARCH8,0.5199359452303637,4.040269127080589e-257,False,6
tar-MYC,0.5617784082839494,6.34078839245916e-309,False,6
tar-NFKBIA,0.5508826503575779,1.0131142759640319e-294,False,8
tar-PDCD1LG2,0.5157812301077203,2.3096421118434906e-252,False,3
tar-POU2F2,0.5172533299430718,4.847821667892355e-254,False,9
tar-SMAD4,0.6872665436763894,0.0,False,8
tar-SPI1,0.5483974710953994,1.4868222932442012e-291,False,10
tar-STAT1,0.6929514163463799,0.0,False,15
tar-STAT2,0.6196260004533665,0.0,False,16
tar-STAT3,0.49117028363752685,1.7000874770892732e-225,False,3
tar-STAT5A,0.48939434884873223,1.2172278321445953e-223,False,5
tar-TNFRSF14,0.47242113719100126,1.8678864507155717e-206,False,2
tar-UBE2L6,0.4957791821913872,2.318512889426114e-230,False,10
