,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.00909355,0.003557728,-0.0022481252,-0.002485653,0.0038497979,-0.0041449843,-0.012702934,0.006566582,-0.0014387361,0.00039033525,0.037867285,-0.0026967928,-9.2938586e-05,-0.0057535795,0.013271197,0.00084427017,0.043483544,0.03762887,0.08617391,-0.0049575856,0.03250523,0.00027055136,-0.008245766,-0.004912729,0.0031631284,-0.0074255113,-0.014249059,0.03878454,0.03746185,0.015752288,-0.005328509,-0.0021431954,0.0018870934,-0.0044569625
CXCL2,-7.766521e-05,0.0014673091,0.0015256241,0.0011464696,0.00032974745,-0.0021460368,-0.00031425268,0.0010300447,-0.0030105999,-0.0008021233,-0.013321311,-0.001130575,-0.00092555664,-0.0009732345,0.037381418,-0.0007094328,0.0056692082,0.0051336223,-0.0030665821,-0.00015335875,0.004188596,-0.000556895,0.0044821524,0.0015840273,0.000616381,-0.0011625703,-0.0077434448,0.0063734762,-0.004474702,-0.0011376485,-0.0026674226,-0.0014753138,0.0007367384,-0.0028907966
ATF3,0.003063938,0.005930549,0.0015508013,0.006345136,-0.0026051833,-0.011012998,-0.007702444,7.377751e-05,-0.00067846547,0.0031489606,-0.00012993433,-0.0031746547,-0.004539856,0.0013628479,0.014966199,-0.00012227579,-0.026486704,-0.032341197,-0.079007216,-0.00037041647,-0.03514057,0.0017362487,-0.014987515,0.004688549,0.0073183924,0.0014615885,-0.043848004,0.01025291,-0.02621412,-0.0030570466,-0.0041891546,-0.007014467,-0.00034778463,-0.0022746525
NFKBIA,0.008887889,0.006694194,0.0014693424,-0.015621003,0.020456987,-0.00628789,-0.008313823,0.008059141,-0.0052067055,-0.0002591395,0.054887295,-0.006055724,0.007966981,-0.011184527,0.034814063,0.007708059,0.095098756,0.08466795,-0.02721217,-0.0049902173,0.08444792,-0.0019443325,-0.019699242,-0.0040354272,-0.00093469716,-0.022559755,-0.023716781,0.055373415,0.07304993,0.019596294,-0.0077182637,0.0022015916,0.00505933,-0.018832356
TNFAIP3,0.0061667515,-0.00089742604,0.0011191905,-0.005145575,0.007842333,-0.0022344873,-0.0036360046,0.00023986479,0.0012429723,0.00028248184,0.009466425,0.0011654898,0.0053798943,-0.0037428904,0.016312838,0.0017911594,-0.008955873,-0.018450154,-0.06937343,0.0024694037,-0.01754558,0.0010224358,-0.006609093,0.0042875647,-0.00022806645,-0.009351216,0.0044540428,0.026307506,0.00234957,0.0146660535,-0.0010014193,0.0024349475,0.0022362885,-0.006069813
PTGS2,0.00076169486,-9.9689576e-05,0.00067834463,0.0007026042,-0.00052232074,-0.0007086997,1.2418642e-05,-0.0001241249,-0.00035150358,0.0005187289,-0.0019379022,-0.00039216087,-1.1262342e-05,0.0003430267,0.0025117598,0.00038185067,-0.002234141,-0.0023496076,-0.013076532,0.00036769448,-0.0024111168,0.00040248025,-0.00093775475,0.0003541399,0.000509775,0.000557141,-0.0041457284,0.0010286449,-0.001233616,0.0002437866,-3.3432855e-06,0.0005554058,0.00021886022,0.00025159848
CXCL1,-0.00088793336,-8.997616e-05,0.008382492,-0.00016832701,0.0034697554,-0.0070366757,-0.0027380323,-0.002719642,0.0010582848,0.0014610845,-0.030834807,0.0013853294,0.0038570557,-0.00059062685,0.049786862,0.0019307092,-0.008975776,-0.017455397,-0.0908999,0.0041907695,-0.018990934,-0.0014600371,0.0067751086,0.0044194213,0.0010759193,-0.0032506334,-0.02489649,0.0058121975,0.0083240075,0.01509145,-0.00011010767,-0.00049666857,0.0039801747,-0.002150084
IER3,-0.00052596384,0.00071564695,0.0010585878,-0.00032892477,-0.000881603,-0.0021816043,-0.0016447522,0.002302457,-0.00030989136,-0.00031197307,-0.001549647,-0.0031849486,-0.0020246112,-0.00086668757,0.006480495,-0.0016921894,0.014061099,0.014207573,-0.036388043,-0.0019479659,0.012339243,-0.00027565664,0.00018067902,-0.0015824832,0.0008513321,0.0013432632,-0.015661662,0.0060896263,0.016686842,0.003092922,-0.0007806655,0.00081049255,0.0009992863,0.0009750135
CD83,-0.0017034046,0.0012608956,0.0018193972,0.00053054193,0.00092331023,-0.0026150239,-0.0025792418,0.0034107899,-0.0005569289,0.001423296,-0.013298793,-0.00032169386,-0.001909946,0.0018046923,0.015656896,0.0018056262,0.0013179431,0.0016134667,0.037351146,-0.0015913544,-0.001024477,-0.0003650337,-0.0017484239,0.007125516,0.003832362,0.0021874774,0.017709333,0.0073352302,-2.6763782e-05,0.005781893,-0.004854792,-0.00068163086,0.0014393937,0.0019013345
CCL20,-0.0015494174,0.001476448,0.0031662732,0.002765411,0.0011650338,-0.0034154502,-0.00062264287,-0.0031425136,0.00090877886,0.001035401,-0.013563107,-0.0006998646,-0.0020506785,-0.00043499775,0.022857668,-0.0027064243,0.026178231,0.029120132,-0.009633,-0.0017651848,0.021596609,0.002291627,-0.0023234666,-0.0007465634,0.002495182,0.0037195524,-0.021363437,0.0023473727,0.020733373,-0.018316817,0.0005976099,0.004187708,-0.00021558696,0.0023944832
