perturbation,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_G2M_CHECKPOINT,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_MYOGENESIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_COMPLEMENT,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_P53_PATHWAY,HALLMARK_HEME_METABOLISM,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_MITOTIC_SPINDLE,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_UV_RESPONSE_UP,HALLMARK_DNA_REPAIR,HALLMARK_UV_RESPONSE_DN,HALLMARK_COAGULATION,HALLMARK_SPERMATOGENESIS,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PEROXISOME,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_PROTEIN_SECRETION,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MYC_TARGETS_V2,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_APICAL_SURFACE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_ANGIOGENESIS,HALLMARK_NOTCH_SIGNALING
NTg1,3.0563263814231587,0.392555101345414,0.3344769706495156,0.6563727957933831,0.1693632316628214,0.7156954083230431,0.8379775193473393,5.245495410199768,0.4298144974392295,2.092795039440452,0.13016627127880748,0.5820303179306818,-0.0,2.188005393607646,3.988071055485028,0.4298144974392295,0.03745924384596685,0.03745924384596685,1.4877359898324765,0.16534659293637907,0.7282487811347562,2.969407891830338,-0.0,-0.0,0.6563727957933831,1.2597509453999525,1.4656139467562197,0.9160717380232557,0.062294695770729644,-0.0,1.8371008774191235,-0.0,0.37774903868508325,-0.0,0.13369499899655896,0.13588770492732924,-0.0,2.080691597029355,-0.0,1.6855120916013522,0.635243825954304,-0.0,0.2835764375563126,1.6127723305039754,-0.0,-0.0,0.6868707251475281,-0.0,2.371394453101557,-0.0
NTg10,1.8701905628548172,1.5939829353342163,-0.0,0.15204427737785753,0.392555101345414,0.39651989005464505,0.056902389884237715,10.0,-0.0,3.3678821132403924,0.03090214719636495,-0.0,0.13016627127880748,1.1386298828951664,4.751471901569908,0.048973970550640324,0.03745924384596685,0.03745924384596685,2.0152124052445304,0.041563733259286965,6.7790920327466875,0.44306166026324756,-0.0,-0.0,0.6563727957933831,1.2597509453999525,0.2589858554087423,1.3964483798998981,-0.0,-0.0,0.36343202683924125,-0.0,0.37774903868508325,-0.0,0.13369499899655896,-0.0,-0.0,4.528771163648638,0.14508229235007464,2.4209280812022946,0.635243825954304,-0.0,-0.0,-0.0,0.45314059163856135,-0.0,-0.0,-0.0,2.371394453101557,-0.0
NTg2,0.5870323777493343,0.392555101345414,0.13983544807160156,0.03745924384596685,0.0428194038316623,0.17140924148787443,0.2129945135172576,10.0,-0.0,0.6853367894688285,0.03090214719636495,-0.0,-0.0,0.7282487811347562,3.988071055485028,0.1887303140972288,-0.0,0.358696136699317,0.6507401325491515,-0.0,2.188005393607646,2.3185359335618156,0.7722100121893135,-0.0,2.6226130217083385,0.8160596965743662,0.2589858554087423,0.06618692510630703,0.062294695770729644,-0.0,0.36343202683924125,-0.0,-0.0,-0.0,-0.0,0.13588770492732924,-0.0,10.0,0.14508229235007464,2.4209280812022946,0.21867436511217475,-0.0,0.2835764375563126,0.8844086778149785,-0.0,-0.0,0.6868707251475281,-0.0,1.361215505885984,-0.0
NTg3,-0.0,0.392555101345414,0.13983544807160156,0.03745924384596685,-0.0,0.17140924148787443,0.056902389884237715,3.734679655078286,0.1887303140972288,2.092795039440452,0.13016627127880748,0.03044898460329131,0.13016627127880748,1.1386298828951664,0.15204427737785753,0.1887303140972288,0.03745924384596685,-0.0,0.3551275668933957,0.16534659293637907,5.0391064293819126,0.7878387206622981,-0.0,0.03090214719636495,0.15204427737785753,0.46141557458560667,0.2589858554087423,0.06618692510630703,0.062294695770729644,0.08072783690105496,0.36343202683924125,-0.0,0.7722100121893135,0.13588770492732924,1.3987171516278112,0.43051167313617694,0.1550061288829249,2.821500268899934,-0.0,-0.0,-0.0,-0.0,-0.0,0.8844086778149785,-0.0,-0.0,-0.0,-0.0,2.371394453101557,-0.0
NTg4,0.9411317651796155,0.7095080054517746,0.6180137600837907,0.03745924384596685,0.1693632316628214,0.17140924148787443,0.056902389884237715,6.9454620817363235,-0.0,0.0403459405616966,0.3150643979256573,0.9340631125913762,1.8701905628548172,0.7282487811347562,1.4979788684800328,0.1887303140972288,-0.0,0.03745924384596685,1.0306966711889545,0.3847507441037184,0.40457740345517473,0.7878387206622981,0.37774903868508325,0.03090214719636495,0.6563727957933831,0.46141557458560667,0.5608104147589565,0.06618692510630703,0.062294695770729644,-0.0,0.36343202683924125,-0.0,0.11567298275427809,-0.0,-0.0,0.13588770492732924,0.4792109704763898,9.862298989060971,-0.0,0.5424689622677614,-0.0,0.7392316789472965,-0.0,0.32583098272888067,-0.0,-0.0,0.6868707251475281,-0.0,1.361215505885984,-0.0
NTg5,0.5870323777493343,0.392555101345414,0.13983544807160156,0.358696136699317,0.0428194038316623,0.39651989005464505,0.056902389884237715,2.4335337571096023,0.1887303140972288,1.550446173063997,0.3150643979256573,0.12862182700826633,1.3709137382306005,0.04477672794295085,1.0385765252132555,0.048973970550640324,0.358696136699317,0.03745924384596685,0.6507401325491515,0.041563733259286965,1.1386298828951664,0.19568830191852318,0.7722100121893135,0.03090214719636495,0.15204427737785753,0.8160596965743662,0.5608104147589565,0.06618692510630703,0.062294695770729644,-0.0,0.11028702852884227,-0.0,0.37774903868508325,-0.0,0.424856384862822,-0.0,0.1550061288829249,3.6399646366253893,-0.0,0.5424689622677614,1.2072555185818277,0.26272126713031335,1.4564559147439595,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NTg7,1.3709137382306005,0.1693632316628214,0.03376905117920521,1.4979788684800328,-0.0,0.04346183909612465,0.4757236134745276,7.861599483728666,0.1887303140972288,4.091725504893003,0.13016627127880748,-0.0,0.03090214719636495,1.6275912215857873,3.2773372311939344,0.7673924500722137,-0.0,-0.0,2.6074311429336032,0.041563733259286965,2.188005393607646,2.3185359335618156,-0.0,-0.0,2.0278965464553247,1.7835067012843788,0.2589858554087423,0.5270584946514052,-0.0,-0.0,2.5160690639221452,-0.0,0.7722100121893135,-0.0,0.13369499899655896,0.13588770492732924,0.1550061288829249,7.565405032503728,-0.0,5.126354196700287,0.21867436511217475,-0.0,0.2835764375563126,0.32583098272888067,-0.0,-0.0,0.6868707251475281,-0.0,0.5413963639219164,-0.0
NTg8,0.13016627127880748,0.392555101345414,-0.0,1.0385765252132555,-0.0,0.04346183909612465,0.2129945135172576,9.81901816594275,-0.0,0.6853367894688285,0.5870323777493343,-0.0,1.8701905628548172,0.40457740345517473,0.6563727957933831,0.1887303140972288,0.6563727957933831,1.0385765252132555,1.0306966711889545,0.16534659293637907,0.40457740345517473,0.44306166026324756,0.37774903868508325,-0.0,1.0385765252132555,0.46141557458560667,1.4656139467562197,0.06618692510630703,0.062294695770729644,-0.0,0.36343202683924125,-0.0,0.11567298275427809,-0.0,-0.0,0.13588770492732924,-0.0,10.0,-0.0,0.5424689622677614,0.21867436511217475,0.7392316789472965,-0.0,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
NTg9,0.9411317651796155,0.7095080054517746,0.6180137600837907,1.0385765252132555,0.0428194038316623,0.39651989005464505,-0.0,3.0563263814231587,0.4298144974392295,0.6853367894688285,0.5870323777493343,0.12862182700826633,0.5870323777493343,2.188005393607646,1.4979788684800328,0.1887303140972288,1.0385765252132555,0.358696136699317,3.2596142640640675,-0.0,1.6275912215857873,0.44306166026324756,-0.0,-0.0,1.0385765252132555,1.2597509453999525,0.5608104147589565,0.2405953406558609,0.062294695770729644,-0.0,0.7472195225895986,-0.0,-0.0,-0.0,0.13369499899655896,-0.0,0.1550061288829249,3.6399646366253893,-0.0,1.0530563272748197,0.635243825954304,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.371394453101557,-0.0
tar-ATF2,0.9411317651796155,0.1693632316628214,0.13983544807160156,0.03745924384596685,0.0428194038316623,0.17140924148787443,-0.0,10.0,-0.0,0.0403459405616966,0.13016627127880748,-0.0,0.03090214719636495,0.04477672794295085,5.564734216777602,0.1887303140972288,-0.0,0.03745924384596685,0.3551275668933957,-0.0,1.6275912215857873,0.05122372862116384,0.7722100121893135,-0.0,0.6563727957933831,0.8160596965743662,0.5608104147589565,0.06618692510630703,0.062294695770729644,-0.0,-0.0,-0.0,0.37774903868508325,-0.0,-0.0,0.13588770492732924,-0.0,10.0,-0.0,1.6855120916013522,0.21867436511217475,-0.0,0.2835764375563126,0.8844086778149785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
