,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.43677153315512496,2.2507381679862073e-173,True,4
NTg10,0.42559858236451115,8.560272115948621e-164,True,4
NTg2,0.4314763009037098,8.663359787446818e-169,True,1
NTg3,0.4345279686711812,2.0188546539719004e-171,True,4
NTg4,0.455333802679764,4.16278276954866e-190,True,5
NTg5,0.41225093206846114,8.175125907165347e-153,True,0
NTg7,0.3499166876093704,9.547996408140839e-108,True,3
NTg8,0.4587373672137121,2.7348127004169736e-193,True,0
NTg9,0.3843428748779087,2.0443145113972502e-131,True,2
tar-ATF2,0.4217076010447542,1.530393947350118e-160,False,5
tar-BRD4,0.5222416652827506,8.663866705051641e-260,False,7
tar-CAV1,0.3476779078128974,2.631240854975914e-106,False,1
tar-CD86,0.37410287482560806,4.527353666208454e-124,False,4
tar-CMTM6,0.413555776550106,7.260202330885514e-154,False,2
tar-CUL3,0.6414939195702574,0.0,False,10
tar-ETV7,0.4623105364779661,1.1396496875118104e-196,False,6
tar-IFNGR1,0.8981552248371557,0.0,False,18
tar-IFNGR2,0.9125917987285276,0.0,False,19
tar-IRF1,0.8354753484662828,0.0,False,18
tar-IRF7,0.4221136901237958,7.036706210816576e-161,False,4
tar-JAK2,0.9013266059534012,0.0,False,19
tar-MARCH8,0.4386034758037497,5.582829850783991e-175,False,4
tar-MYC,0.5906113967372315,0.0,False,9
tar-NFKBIA,0.5021595041603278,3.203686651457609e-237,False,6
tar-PDCD1LG2,0.4165016185318493,2.949160179550198e-156,False,3
tar-POU2F2,0.45658753376828826,2.826857090883857e-191,False,6
tar-SMAD4,0.8294846978716381,0.0,False,15
tar-SPI1,0.47813502317808726,3.924925919868862e-212,False,1
tar-STAT1,0.8964865594958074,0.0,False,19
tar-STAT2,0.7280197632921468,0.0,False,20
tar-STAT3,0.4629896365102187,2.5691400962900147e-197,False,1
tar-STAT5A,0.38518171264865264,4.9781835448489387e-132,False,3
tar-TNFRSF14,0.42480636728162824,3.9641145602561656e-163,False,6
tar-UBE2L6,0.3912311541205162,1.6571151240054141e-136,False,5
