,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.0024971804,-0.0075149615,-0.016150063,-0.014392573,0.015547906,0.004434642,0.0038067705,0.0102194045,-0.006962458,0.004803296,0.011506008,-0.00054125686,-0.0044627674,0.00085218,0.05325948,0.0051524,0.01765261,0.009606327,0.01791185,-0.016451707,0.012831423,-0.015069582,0.030267298,0.0035478165,0.017779397,-0.014455806,0.039895788,0.0004346495,0.008173149,0.0386061,-0.022549395,-0.0009784286,-0.013521928,0.0006590007
CXCL2,-0.007301084,0.000997358,-0.0054546017,0.014446071,-0.0018418521,-0.0011804283,-0.007859757,-0.0031490843,-0.0059704874,-0.0039728214,-0.03172927,-0.0034226815,-0.0053289295,-0.0013448715,0.070686206,-0.0031485497,0.027946975,0.021294242,0.022875974,-0.008919507,0.026810102,-0.011593718,0.043775063,-0.0011917468,0.00021399389,-0.0029924763,-0.020372005,-0.009351767,0.004679753,0.011770792,-0.012054473,-0.0020473425,-0.0039616614,-0.00040315735
ATF3,-0.0268309,-0.0090317605,-0.016208647,0.017265406,0.001663447,-0.018505871,-0.014822133,0.009649724,-0.004427127,0.009435119,-0.033871967,-0.004887282,-0.010671968,-0.004207346,0.11087477,0.009431818,-0.13422813,-0.13810998,-0.12089617,-0.010357597,-0.15054041,-0.025841912,0.08713954,0.007883539,0.010110462,-0.0071217683,-0.10693527,-0.029937565,-0.1777104,-0.029811865,-0.030016318,-0.01250516,-0.004657958,0.008866146
NFKBIA,-0.017830787,0.0035730258,0.0008273977,-0.005743419,0.0053017167,-0.013885111,0.010777801,0.013605329,-0.010420269,0.0063778446,0.007609708,6.376744e-05,-0.0055169216,0.003631832,0.0756223,0.010311965,0.21371193,0.2193959,-0.009443655,-0.019071013,0.21847387,-0.016161077,-0.010306418,-0.0052735754,0.023130042,-0.016215397,0.05832201,-0.006280864,0.21300824,0.14695317,-0.031158667,-0.0017956005,-0.0130167,-0.0076346453
TNFAIP3,-0.014441087,-0.0074363984,-0.013645132,0.00737076,-0.0015352148,0.0018656481,-0.003370819,0.001688284,-0.0025630167,0.0020330679,-0.005617334,0.00094645837,-0.0030676592,-0.0028104936,0.034397177,0.002322353,-0.076006524,-0.08745633,-0.0820543,-0.010089686,-0.08573648,-0.009916724,0.015501946,0.00036283722,0.0069681304,-0.009551711,-0.011309709,0.005125553,-0.10702777,0.019363435,-0.01868986,-0.005444763,-0.00966253,-0.006502443
PTGS2,-0.00077141327,-0.0009008721,-0.00017304329,0.0020892085,-0.0020723091,0.0006273879,-0.00083944865,1.2215601e-05,0.00040770328,0.0004073225,-0.003335613,0.0012390538,-8.2113176e-05,-0.0011209771,0.0054236334,-0.00065529224,-0.009227329,-0.0076627973,-0.01898737,-0.00017160515,-0.011337805,-0.0023346953,0.0033954815,-0.0013230171,-0.0022307516,0.0020709438,0.0009089334,-0.0028525495,-0.0034730579,0.00810617,0.0013306269,-0.002891685,-0.0018024142,-0.0015586164
CXCL1,0.0034025204,-0.00053880014,-0.014735015,0.0133971255,0.0042664986,0.00014380319,-0.01230464,0.0047957962,-0.00041322547,-0.0034970092,-0.047927693,0.000576428,-0.007848374,-0.0069248173,0.08271795,0.005131412,-0.013308516,-0.017787231,-0.033134654,-0.008951026,-0.0033721745,-0.021682836,0.087794416,-0.0071172277,0.008668088,0.01660613,-0.037293762,-0.024504373,-0.01617272,0.0451982,-0.01229092,-0.015438503,-0.009082368,-0.01102085
IER3,-0.0025741486,0.0009428535,0.0035593861,0.0028623482,0.0013944198,-0.0034910284,0.00081846444,0.0050695976,-0.0038867947,0.004141939,0.005876232,0.0006082477,-0.0012669384,0.0032588972,0.026096512,0.006838666,0.03407582,0.04047504,-0.019503115,0.0040781335,0.039024886,-0.0040877284,0.0030533513,0.008079372,0.0078671435,0.0014331022,-0.019581812,-0.0035232243,0.058275267,0.0055592926,-0.00031382494,0.0043575135,0.0028490094,-0.00027491598
CD83,-0.023252986,-0.008359845,-0.008434882,0.01625045,0.0076979855,0.0032107627,-0.010373996,0.004428969,-0.0010873326,0.0031030704,-0.00020591321,-0.004143445,-0.009671919,0.002144999,0.09164187,0.0056055854,-0.039738163,-0.039356016,0.07207254,-0.015028437,-0.03386334,-0.021936622,0.06203274,0.011359834,0.006118411,-0.0031658893,0.04165456,-0.0037947886,-0.050258446,0.032494154,-0.015636066,-0.009790574,-0.009328819,0.0026292684
CCL20,-0.00019947243,-0.00036364334,0.0025655103,0.0034450856,0.001520255,-0.0029726366,-3.8095328e-05,0.0043470506,-0.004345355,0.0019285807,-0.014984907,-0.0025914079,0.000504231,0.0010344902,0.03498699,0.00059324957,0.09794401,0.10409478,0.030998003,-0.00305492,0.103916116,-0.007953619,0.01361855,-0.00015205417,0.0019377458,0.0033834532,-0.022753296,-0.015145499,0.12381821,0.019202914,-0.0038000955,0.0019175091,-0.0031821989,-0.00062222
