,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.004028365,0.009791889,-0.0030487545,0.00029005556,-0.002305065,-0.00390235,-0.008259647,0.003299306,0.0023425033,0.0026161468,0.03830986,0.0032104275,0.0072220815,-0.0007233971,0.016949166,0.0067657894,0.054527305,0.054604214,0.049532793,-0.0050881617,0.059572145,-0.0051456825,0.018788848,0.0007950334,0.0053248056,0.00016217217,-0.0068533816,0.031535942,0.0465486,0.02466507,-0.00296872,0.0006778006,0.0111790635,-0.0001579259
CXCL2,-0.0028196536,0.00042713934,0.0007499541,0.00072675705,-0.0008873266,-0.00061068067,0.0011656975,0.0029338016,-0.0015444597,0.00046497525,-0.00022756265,0.00039248308,-8.362543e-05,-0.00086710113,0.023169849,0.0023966308,0.0075279446,0.0056279576,-0.00045939008,6.377442e-05,0.007920737,-0.0008635149,0.0065409215,0.00034963078,-0.0015023443,-0.00042820314,-0.014142148,-0.002678234,-0.0058922325,-0.00044747858,-0.0013990378,-0.0017999028,0.0014025611,-0.00049047027
ATF3,-0.002711303,0.0011706195,0.004284992,0.0025256283,0.00076477986,-0.010125747,-0.0016780468,0.0038951165,0.00012081108,0.003949003,0.0029173496,0.004258995,0.0020566296,0.005704073,0.015701594,-0.0009797527,-0.032567948,-0.03727786,-0.0884324,-0.0010482484,-0.03929696,0.0043198294,-0.004199501,0.009117856,0.0076795584,0.0026537923,-0.02027955,-0.022774575,-0.025069471,-0.01374371,-0.0056665204,-0.0026274314,-5.811068e-05,0.0025357516
NFKBIA,-0.0032449674,0.014182275,-0.01584148,-4.558366e-05,-0.0023770027,0.0039924714,-0.016998583,0.016664544,0.004469573,0.009300976,0.051414415,-0.0039900434,0.014315227,-0.010905022,0.032704063,0.02135908,0.1512562,0.1528002,0.01321381,-0.009429604,0.16303961,-0.008750258,0.012397314,-0.012110083,0.0038137953,-0.013890153,-0.06849568,0.06706833,0.085701674,0.00041535802,-0.0056824274,-0.0069906064,0.011792638,-0.012965199
TNFAIP3,-0.0036671893,0.0020043151,-0.0065336074,0.004281594,-0.0029792048,0.0059421747,-0.0061105113,0.0014726488,0.0046558236,0.002338039,0.021748934,-0.0030493787,0.0048345295,-0.006147701,0.003936889,0.007727643,-0.0009962699,-0.004030914,-0.054846473,-0.0006862267,-0.0015854116,0.00036912583,0.010940265,-0.0028310036,-0.0001356608,-0.0032064887,-0.0031563633,0.02251771,-0.009765837,-0.0006467359,0.0018061601,-0.0030117256,0.0023431315,-0.002867717
PTGS2,0.00017282937,-0.00039952376,0.0011913715,-0.00023180405,-0.00015147963,-0.0007892208,5.834311e-05,0.00028613623,-0.0001648452,0.00048134007,-0.0020101804,-0.00025207127,-0.0003119798,0.00015922022,0.00096721674,0.00014781111,-0.0016722389,-0.0020250636,-0.019151164,-9.175554e-05,-0.0017899936,0.0003448604,-0.00095077854,0.00015705936,4.373459e-05,0.0002827877,0.00096657965,-0.0022848842,0.00024705354,0.0028053247,-0.0010385719,-0.00027713456,-0.0001344878,-0.00026441802
CXCL1,-0.009668593,0.0025795621,0.0015369105,-0.002094573,-0.0030987023,0.001796144,-0.000760622,0.007829912,0.001003784,0.0031559176,-0.036486156,-0.0013116044,6.0225564e-05,-0.004192348,0.025121124,0.008875476,0.004713265,-0.0025145952,-0.078372754,0.0067317183,-0.00039214894,-0.0007422835,0.014981411,0.0022385286,-0.0019017408,-0.001200636,-0.045493253,-0.018302092,0.014168712,0.014383055,-0.0021863075,-0.0011137999,0.0034671552,0.0013963751
IER3,2.3855377e-05,-0.0006405952,0.0020903347,-0.00045400977,0.0010720638,-0.0031268378,0.0013870033,-0.00019271912,0.0014579797,-0.0010031622,-0.0046904376,-0.0012927116,0.00036336796,-0.0016871749,-0.0007689251,-0.0009845081,0.013721607,0.014915103,-0.04188077,-0.0016201539,0.017159274,-0.0006417616,0.001071282,0.0014265111,0.00092131,0.0017989356,-0.01602022,-0.005409433,0.0126486225,0.006067749,-0.0012914467,0.0015240728,0.0016851014,0.0024542164
CD83,-0.0012944858,0.002566446,-0.0010784635,0.00038509534,-0.00034733777,-0.0023126255,-0.0020370428,0.002678624,5.9166076e-05,0.0034577742,0.00899485,0.0031091766,0.003834724,0.0045512156,0.013474785,0.0026760749,-0.0024070842,0.00044238946,0.05665915,-0.0018545378,0.0004607312,-0.0021837545,0.0051737037,0.008168356,0.0059766644,0.0030547117,0.029029803,-0.0038069214,-0.0043549705,0.010980948,-0.0050402777,-0.0030124688,0.0008511649,0.0016845828
CCL20,-0.0053433008,0.0024855214,0.0047788424,-0.0011830379,0.0006841251,-0.00053600455,0.0017649748,-0.0021658768,0.0019302634,-0.00072102057,-0.0131036015,-0.003061936,-0.0037014363,-0.0033620507,0.01348266,-0.0013394923,0.040074714,0.04687383,-0.007694307,-0.0039956565,0.04170154,0.00011214749,0.0004565666,-0.0027182957,-0.0001246303,0.0011573858,-0.023217523,-0.0027707256,0.030646155,-0.0011479696,-0.0034337011,0.0006435602,0.00090067997,0.002699068
