,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5175521753815818,2.2074635209995413e-254,True,6
NTg10,0.4946438252737384,3.720940653683989e-229,True,1
NTg2,0.5588531040933956,4.65000946558954e-305,True,4
NTg3,0.5154488374968977,5.511723279404739e-252,True,3
NTg4,0.5519463384826501,4.386642657442533e-296,True,7
NTg5,0.4761302860653659,3.963794923947227e-210,True,4
NTg7,0.47711839072025003,4.091686473930895e-211,True,5
NTg8,0.5128983748066976,4.2248766190377184e-249,True,5
NTg9,0.46593585069005955,3.8538055225313596e-200,True,4
tar-ATF2,0.5074617752671556,4.933765759215745e-243,False,4
tar-BRD4,0.7116338234123897,0.0,False,13
tar-CAV1,0.5278601072815791,2.227677645083446e-266,False,0
tar-CD86,0.5384415486139784,3.929515342249697e-279,False,2
tar-CMTM6,0.5156279424663722,3.449834759706367e-252,False,5
tar-CUL3,0.6769637409116039,0.0,False,14
tar-ETV7,0.5358042113522122,6.54090987091286e-276,False,8
tar-IFNGR1,0.764221276437215,0.0,False,16
tar-IFNGR2,0.7622855510035709,0.0,False,15
tar-IRF1,0.7530247899799437,0.0,False,14
tar-IRF7,0.5059242835761285,2.4501705487048107e-241,False,6
tar-JAK2,0.7608671354331016,0.0,False,17
tar-MARCH8,0.5177212246981291,1.4140925838208692e-254,False,7
tar-MYC,0.5906392325242652,0.0,False,7
tar-NFKBIA,0.5780277428245816,0.0,False,7
tar-PDCD1LG2,0.5181271402605186,4.848507406980244e-255,False,3
tar-POU2F2,0.5162965071271863,5.985989903318245e-253,False,10
tar-SMAD4,0.6932924072500976,0.0,False,9
tar-SPI1,0.5650801532993553,2.47020148477e-313,False,10
tar-STAT1,0.7213104532455707,0.0,False,14
tar-STAT2,0.6267734378156417,0.0,False,17
tar-STAT3,0.5135349779968895,8.09330857236589e-250,False,2
tar-STAT5A,0.48505429584575144,3.737379974430037e-219,False,2
tar-TNFRSF14,0.49225034619382124,1.2503013476462127e-226,False,5
tar-UBE2L6,0.502544470052089,1.2220508291164568e-237,False,9
